x,y,tam
43687287,446534248,79
43687287,446534248,79
43687287,446534248,79
43687287,446534248,79
43687287,446534248,79
43687287,446534248,79
43633913,446630455,79
43633913,446630455,79
43671132,446600508,79
43671132,446600508,79
43671132,446600508,79
43671132,446600508,79
43601925,446360507,79
43582660,446359176,79
43583167,446375113,79
43593346,446355621,79
43591845,446368715,79
43588914,446358056,79
43583688,446360765,79
43583688,446360765,79
43583688,446360765,79
43583688,446360765,79
43572957,446365471,79
43572957,446365471,79
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43667535,446570229,80
43610936,446611080,80
43592898,446356855,80
43601925,446360507,80
43589233,446362185,80
43589233,446362185,80
43579618,446365592,80
43573045,446362454,80
43575106,446364196,80
43572957,446365471,80
43572957,446365471,80
43572957,446365471,80
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43667535,446570229,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43684205,446548193,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43697053,446570624,81
43592375,446372746,81
43592375,446372746,81
43575169,446370621,81
43582404,446373326,81
43584910,446354009,81
43591845,446368715,81
43590753,446356170,81
43590753,446356170,81
43590753,446356170,81
43590753,446356170,81
43694948,446514747,82
43694948,446514747,82
43694948,446514747,82
43694948,446514747,82
43694948,446514747,82
43694948,446514747,82
43694948,446514747,82
43694948,446514747,82
43654221,446640389,82
43654221,446640389,82
43633913,446630455,82
43592898,446356855,82
43592898,446356855,82
43593615,446371139,82
43601925,446360507,82
43579734,446363621,82
43571018,446363724,82
43586862,446372764,82
43586862,446372764,82
43586862,446372764,82
43586862,446372764,82
43591845,446368715,82
43572957,446365471,82
43572957,446365471,82
43694948,446514747,83
43588605,446354495,83
43593380,446361808,83
43592375,446372746,83
43592375,446372746,83
43593615,446371139,83
43601925,446360507,83
43599431,446367494,83
43582660,446359176,83
43581223,446366663,83
43581223,446366663,83
43578475,446359492,83
43578475,446359492,83
43578475,446359492,83
43578475,446359492,83
43578475,446359492,83
43578475,446359492,83
43578475,446359492,83
43578475,446359492,83
43583167,446375113,83
43583167,446375113,83
43592221,446369595,83
43581105,446362299,83
43591845,446368715,83
43583688,446360765,83
43572957,446365471,83
43572957,446365471,83
43572957,446365471,83
43580040,446365337,83
43597007,446358145,84
43594076,446358245,84
43601925,446360507,84
43576794,446362492,84
43576794,446362492,84
43578475,446359492,84
43583167,446375113,84
43583167,446375113,84
43590576,446370736,84
43581425,446374421,84
43593346,446355621,84
43572957,446365471,84
43572957,446365471,84
43693191,446536378,85
43693191,446536378,85
43587284,446354703,85
43597015,446352621,85
43589233,446362185,85
43583027,446370493,85
43583027,446370493,85
43597279,446355745,85
43581105,446362299,85
43593346,446355621,85
43581555,446369630,85
43581555,446369630,85
43581555,446369630,85
43581555,446369630,85
43697838,446529352,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43654221,446640389,86
43574679,446366333,86
43576908,446369393,86
43578595,446368543,86
43578595,446368543,86
43583027,446370493,86
43591425,446370162,86
43593346,446355621,86
43568379,446359920,86
43579307,446361638,86
43580040,446365337,86
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43659986,446564051,87
43728181,446517624,87
43728955,446515027,87
43593380,446361808,87
43594076,446358245,87
43593615,446371139,87
43601925,446360507,87
43601925,446360507,87
43571823,446357735,87
43571823,446357735,87
43571823,446357735,87
43571823,446357735,87
43571823,446357735,87
43571823,446357735,87
43571823,446357735,87
43576908,446369393,87
43576908,446369393,87
43589233,446362185,87
43571018,446363724,87
43578475,446359492,87
43578475,446359492,87
43594968,446367555,87
43594968,446367555,87
43575106,446364196,87
43575106,446364196,87
43579307,446361638,87
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43691303,446517523,88
43709633,446527505,88
43709633,446527505,88
43709633,446527505,88
43709633,446527505,88
43709633,446527505,88
43658762,446621292,88
43658762,446621292,88
43592858,446351402,88
43599431,446367494,88
43600746,446366721,88
43571823,446357735,88
43575169,446370621,88
43575169,446370621,88
43583027,446370493,88
43583027,446370493,88
