x,y,tipo,tamanyo
43523494,446478673,I,58
43522404,446481547,C,73
43519519,446482557,C,223
43519519,446482557,C,62
43517864,446481141,C,55
43517864,446481141,C,55
43519244,446494850,O,73
43525332,446494041,C,192
43525332,446494041,C,120
43525332,446494041,C,65
43525332,446494041,C,195
43525332,446494041,E,64
43525332,446494041,C,32
43525332,446494041,C,49
43525332,446494041,C,35
43525332,446494041,C,44
43525332,446494041,C,32
43528432,446494664,C,81
43528432,446494664,C,81
43528432,446494664,C,125
43528432,446494664,C,37
43528432,446494664,C,121
43528432,446494664,C,118
43527930,446493160,C,121
43527930,446493160,C,36
43527930,446493160,C,34
43527930,446493160,C,122
43527930,446493160,C,84
43527930,446493160,C,77
43527930,446493160,C,45
43527930,446493160,C,47
43527930,446493160,C,23
43527201,446491929,C,88
43527201,446491929,C,55
43527201,446491929,C,120
43527201,446491929,C,52
43528278,446488981,I,138
43523322,446508243,C,31
43523322,446508243,C,32
43523322,446508243,C,50
43523322,446508243,C,32
43523322,446508243,C,31
43523322,446508243,C,26
43526469,446499996,I,35
43530969,446501090,C,116
43530969,446501090,C,75
43530969,446501090,C,59
43530969,446501090,C,102
43530969,446501090,C,162
43530523,446499611,C,146
43530523,446499611,C,70
43530523,446499611,C,69
43530523,446499611,C,69
43530523,446499611,C,73
43530523,446499611,C,111
43530117,446498111,C,129
43530117,446498111,C,108
43530117,446498111,C,32
43530117,446498111,C,72
43530117,446498111,C,70
43530117,446498111,C,140
43529570,446496753,C,111
43529570,446496753,C,152
43529570,446496753,C,67
43529570,446496753,C,72
43529570,446496753,C,115
43517739,446516144,C,54
43522298,446516113,C,49
43524895,446516196,C,70
43524895,446516196,C,70
43527105,446516230,C,69
43527105,446516230,O,69
43524857,446511646,C,35
43524857,446511646,C,35
43524857,446511646,C,35
43524857,446511646,C,35
43524857,446511646,C,35
43477895,446461553,O,17
43477895,446461553,C,93
43477895,446461553,C,293
43477895,446461553,C,242
43477895,446461553,C,96
43477895,446461553,C,88
43481075,446462438,C,110
43481075,446462438,C,106
43481075,446462438,C,106
43482345,446461541,C,197
43482345,446461541,C,74
43482345,446461541,C,87
43482500,446460180,C,84
43482500,446460180,C,68
43482500,446460180,C,66
43482500,446460180,C,74
43482500,446460180,C,220
43453656,446388963,C,40
43455139,446388737,C,34
43455139,446388737,O,62
43457313,446388158,C,35
43457313,446388158,C,53
43457313,446388158,C,46
43457313,446388158,C,43
43459538,446387820,C,109
43459538,446387820,C,107
43461789,446387542,C,55
43461789,446387542,C,72
43461789,446387542,C,71
43461789,446387542,C,54
43451568,446400918,C,35
43451197,446399501,C,35
43450802,446397969,C,35
43450500,446396553,C,35
43450407,446395206,C,35
43450407,446395206,C,58
43457145,446399024,C,56
43459467,446398321,C,57
43459467,446398321,C,50
43459467,446398321,C,52
