x,y,tam
43374694,446408613,110
43312486,446274717,110
43312486,446274717,110
43312486,446274717,110
43312486,446274717,110
43312486,446274717,110
43312590,446294093,110
43376574,446407507,111
43376574,446407507,111
43376574,446407507,111
43375159,446414310,111
43375159,446414310,111
43375159,446414310,111
43375159,446414310,111
43328853,446329314,111
43306828,446312908,111
43312590,446294093,111
43312590,446294093,111
43376574,446407507,112
43371304,446411047,112
43371304,446411047,112
43375159,446414310,112
43375159,446414310,112
43375159,446414310,112
43375159,446414310,112
43306828,446312908,112
43306828,446312908,112
43376574,446407507,113
43371304,446411047,113
43371304,446411047,113
43326787,446278008,113
43326787,446278008,113
43326787,446278008,113
43326787,446278008,113
43331277,446335335,113
43281324,446299199,113
43281324,446299199,113
43371304,446411047,114
43316919,446335112,114
43326787,446278008,114
43331277,446335335,114
43331277,446335335,114
43331277,446335335,114
43324555,446351846,114
43324555,446351846,114
43324555,446351846,114
43324555,446351846,114
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43365393,446385899,115
43312486,446274717,115
43312486,446274717,115
43312486,446274717,115
43316919,446335112,115
43330260,446332492,115
43330260,446332492,115
43330260,446332492,115
43321900,446346028,115
43309093,446285992,115
43309093,446285992,115
43309093,446285992,115
43301694,446299480,115
43301694,446299480,115
43301694,446299480,115
43319443,446290714,115
43376574,446407507,116
43376574,446407507,116
43376574,446407507,116
43320280,446280980,116
43320280,446280980,116
43320280,446280980,116
43312486,446274717,116
43317790,446305214,116
43317790,446305214,116
43317790,446305214,116
43316919,446335112,116
43316919,446335112,116
43316919,446335112,116
43316919,446335112,116
43331277,446335335,116
43380438,446408026,117
43380438,446408026,117
43380438,446408026,117
43320280,446280980,117
43320280,446280980,117
43320280,446280980,117
43320280,446280980,117
43312486,446274717,117
43312486,446274717,117
43312486,446274717,117
43312486,446274717,117
43312486,446274717,117
43312486,446274717,117
43312486,446274717,117
43312486,446274717,117
43312486,446274717,117
43317790,446305214,117
43316919,446335112,117
43326787,446278008,117
43326787,446278008,117
43331277,446335335,117
43324555,446351846,117
43324555,446351846,117
43376574,446407507,118
43320280,446280980,118
43320280,446280980,118
43326787,446278008,118
43326787,446278008,118
43321900,446346028,118
43321900,446346028,118
43321900,446346028,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43281324,446299199,118
43312590,446294093,118
43320280,446280980,119
43319693,446309188,119
43326787,446278008,119
43326787,446278008,119
43326787,446278008,119
43301694,446299480,119
43301694,446299480,119
43301694,446299480,119
43301694,446299480,119
43301694,446299480,119
43312590,446294093,119
43312590,446294093,119
43312590,446294093,119
43312590,446294093,119
43376574,446407507,120
43376574,446407507,120
43376574,446407507,120
43319693,446309188,120
43326787,446278008,120
43301694,446299480,120
43301694,446299480,120
43301694,446299480,120
43301694,446299480,120
43301694,446299480,120
43301694,446299480,120
43301694,446299480,120
43301694,446299480,120
43301694,446299480,120
43301694,446299480,120
43312590,446294093,120
43312590,446294093,120
43318915,446340463,121
43318915,446340463,121
43316919,446335112,121
43331277,446335335,121
43312590,446294093,121
43315364,446281044,122
43315364,446281044,122
43315364,446281044,122
43315364,446281044,122
43315364,446281044,122
43312486,446274717,122
43317790,446305214,122
43317790,446305214,122
43318915,446340463,122
43316919,446335112,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43323274,446269899,122
43326787,446278008,122
43326787,446278008,122
43326787,446278008,122
43326787,446278008,122
43309093,446285992,122
43301694,446299480,122
43301694,446299480,122
43301694,446299480,122
43301694,446299480,122
43301694,446299480,122
43301694,446299480,122
43301694,446299480,122
43301694,446299480,122
43301694,446299480,122
43301694,446299480,122
43319443,446290714,122
43365393,446385899,123
43365393,446385899,123
43365393,446385899,123
43365393,446385899,123
43376574,446407507,123
43371304,446411047,123
43371304,446411047,123
43315364,446281044,123
43315364,446281044,123
43315364,446281044,123
43315364,446281044,123
43315364,446281044,123
43315364,446281044,123
43315364,446281044,123
43312486,446274717,123
43317790,446305214,123
43317790,446305214,123
43311986,446324121,123
43311986,446324121,123
43311986,446324121,123
43311986,446324121,123
43311986,446324121,123
43311986,446324121,123
43326787,446278008,123
43326787,446278008,123
43312590,446294093,123
43381145,446410184,124
43381145,446410184,124
43381145,446410184,124
43381145,446410184,124
43381145,446410184,124
43381145,446410184,124
43312486,446274717,124
43312486,446274717,124
43312486,446274717,124
43312486,446274717,124
43318915,446340463,124
43316919,446335112,124
43316919,446335112,124
43316919,446335112,124
